Station Code,Location,State,Temp,D.O. (mg/l),B.O.D. (mg/l),PH,Conductivity (µmhos/cm),TDS,Nitrate + Nitrite (mg/l),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Year
2713,"VASHISTI AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL AT KHERDI, RATNAGIRI. ",MAHARASHTRA,26.2,6.7,2.5,7.8,204,122.4,0.77,2,68,2011
2714,VASHISTI AT U/S OF POPHALI NR KONPHANSAWANE BRIDGE,MAHARASHTRA,25.3,6.9,2.2,7.7,205,143.5,0.93,2,55,2011
1342,ACHENKOIL AT THUMPAMON,KERALA,26.6,7.1,0.5,6.9,72,57.6,0.25,278,641,2011
1443,ACHENKOIL AT CHENNITHULA,KERALA,26.8,6.6,0.9,6.9,70,49,0.49,223,495,2011
2297,R ANCHARAKANDY AT MERUVAMBA,KERALA,26.6,6.9,0.8,7.1,52,36.4,0.18,46,520,2011
2319,R ANCHARAKANDY AT MERUVAMBA,KERALA,26.8,7.2,0.8,7,830,498,0.16,94,654,2011
2286,R AYROOR AT AYROOR BRIDGE,KERALA,29.3,6.3,1.3,6.9,95,66.5,0.99,750,1325,2011
2331,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,25.4,7.2,0.9,7.4,164,98.4,0.46,1325,2225,2011
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,25.5,6.9,0.8,7.5,231,184.8,0.55,1000,1725,2011
1154,CHALAKUDY AT PULICKALKANANDAVU,KERALA,26.6,6.5,1.3,6.9,101,70.7,0.47,468,1127,2011
20,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,24.7,7.1,0.6,7.1,64,51.2,0.4,283,646,2011
21,CHALIYAR AT CHUNGAPALLY,KERALA,24.8,7.1,0.6,7.1,4600,2760,0.35,229,538,2011
1572,CHANDRAGIRI AT PADIYATHADKA,KERALA,28,7.5,0.6,7.2,52,41.6,0.15,285,900,2011
1573,CHITTHRAPUZHA AT IRUMPANAM,KERALA,27.4,2,2.4,6.8,265,185.5,2.3,1525,5425,2011
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26,5.6,1.2,7,12769,7661.4,0.41,725,1650,2011
1564,"ITHIKKARA AT AYUR, KERALA",KERALA,27.4,7.1,0.6,7,90,54,0.64,338,625,2011
2287,R ITHIKKARA AT ITHIKKARA,KERALA,26.5,6.1,0.8,7,248,198.4,0.66,500,1150,2011
1566,KADALUNDY AT THIRURANGADY,KERALA,28.4,6,1.1,7,94,75.2,0.13,183,370,2011
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,28.8,6.5,0.8,7.5,76,45.6,0.08,275,585,2011
2337,R KADAMBAYAR AT BRAHMAPURAM,KERALA,26.7,1.5,3.6,6.6,192,134.4,0.92,881,2978,2011
2338,R KADAMBAYAR AT MANCKAKADAVU,KERALA,26.4,2,2.4,6.8,79,63.2,0.2,456,1275,2011
42,"KALLADA AT PERUMTHOTTAM KADAVU, PUNALOOR, KERALA",KERALA,26.5,7.2,0.6,7.1,52,31.2,0.15,298,687,2011
2294,R KALLAI AT KALLAI BRIDGE,KERALA,25.5,4,1.1,7.5,25964,15578.4,0.76,945,1588,2011
1571,KARINGODE AT KAKKADAVU,KERALA,28,7.2,0.9,7.3,54,43.2,0.25,330,610,2011
1155,KARAMANA AT MOONNATTUMUKKU,KERALA,28,0.8,11.9,7.1,1239,743.4,1.87,4250,11000,2011
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,27.9,6.4,1.3,6.5,58,40.6,0.34,255,960,2011
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,28.1,6.3,1.2,6.8,77,46.2,0.16,73,208,2011
2291,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,28.6,5.4,1.6,6.6,80,48,0.27,335,775,2011
2326,R KORAYAR AT KANJIKODE,KERALA,25.3,5.8,1,7.8,666,466.2,0.24,993,1650,2011
1569,R KUPPAM AT THALIPARAMBA,KERALA,28.3,6.6,1.1,7.2,12768,10214.4,0.13,88,1412,2011
2298,R KUPPAM AT RAYAROM,KERALA,26.1,7.7,1,7.2,44,35.2,0.28,29,148,2011
